name,rank_custom,rank_bangumi,subjectname
175137,550,875,忍者杀手 特别编辑版
7707,551,483,伤物语I 铁血篇
283,552,465,南家三姐妹
95800,553,809,哆啦A梦：伴我同行
918,554,475,草莓棉花糖 OVA 第2期
1836,555,548,空中杀手
3960,556,508,DARKER THAN BLACK -黑之契约者- 外传
12544,557,526,萤火之森
119279,558,394,Go! Princess 光之美少女
185761,559,492,我的英雄学院 第二季
14220,560,254,少年同盟
1877,561,476,校园迷糊大王 一学期补习
1263,562,366,魔法少女奈叶A's
3153,563,306,银魂 JUMP动画巡回展 2005
199392,564,584,血界战线 & BEYOND
309,565,520,真实之泪
19208,566,632,银河铁道之夜
2897,567,527,×××HOLiC 仲夏夜之梦
37685,568,395,心理测量者
10440,569,276,我们仍未知道那天所看见的花的名字。
76319,570,269,南方公园 第17季
1220,571,619,现视研 OVA
79658,572,890,银河英雄传说外传 白银之谷
3482,573,339,搞笑漫画日和＋
13012,574,496,哪吒闹海
804,575,636,机动战士高达0083 星尘的回忆
77760,576,1134,正义联盟：闪点悖论
1617,577,440,不可思议的教室
44691,578,750,壳中少女 排气
10782,579,855,枪神 Badlands Rumble
467,580,547,地球防卫少年
41731,581,1043,装甲骑兵 最后的红肩队
976,582,510,怪 ～ayakashi ～
453,583,985,大雄与梦幻三剑士
9572,584,883,三个火枪手
4043,585,565,魁!!库洛马迪高校
37395,586,660,乐园追放 -Expelled From Paradise-
191056,587,773,龙的牙医
19130,588,704,哆啦A梦：新大雄与铁人兵团
755,589,918,河童之夏
1147,590,677,ZEGAPAIN
511,591,1133,茄子 带着旅行箱的候鸟
49019,592,1089,爷爷的煤油灯
4400,593,519,失落的宇宙
210458,594,638,恋如雨止
71802,595,738,现视研 二代目
86895,596,568,悠哉日常大王 OAD
114105,597,819,再见绝望先生 Blu-ray BOX化纪念话
4283,598,657,少年犯之七人
174142,599,695,编舟记
1424,600,349,轻音少女
66202,601,933,TIGER & BUNNY -The Rising-
16190,602,921,火鸟
95225,603,649,Fate/stay night [Unlimited Blade Works]
3170,604,779,超时空要塞 ZERO
4214,605,393,圣母在上
52606,606,856,天才麻将少女 全国篇
2790,607,411,好想告诉你
2732,608,782,月光旅程 -Lift off-
92412,609,753,蜡笔小新 决一胜负！逆袭的机器人爸爸
29426,610,672,坂道上的阿波罗
806,611,478,铁臂阿童木
21942,612,389,幻想万华镜 春雪异变之章
40187,613,580,父与女
593,614,509,圣斗士星矢 冥王十二宫编
3169,615,579,超时空要塞7
123568,616,562,请问您今天要来点兔子吗？？
56846,617,815,起风了
180172,618,959,机动战士高达 雷霆宙域 DECEMBER SKY
4442,619,970,大铁人 地球静止之日
141799,620,679,飞翔的魔女
1512,621,456,狼与香辛料 第二季
40310,622,600,少女与战车
8290,623,530,头文字D
185792,624,555,小魔女学园
193378,625,419,重启咲良田
3054,626,893,大魔法峠
91987,627,551,摸索吧！部活剧 再来一个
84501,628,587,夏目友人帐 曾几何时下雪之日
4475,629,294,银魂剧场版 新译红樱篇
450,630,1008,大雄的天方夜譚
89536,631,217,小马驹G4 第四季
139408,632,673,阿松
8748,633,533,花田少年史
3755,634,629,西蒙
20547,635,499,迷糊餐厅 第二季
13549,636,871,我的女神 OVA
3026,636,758,剧场版 精灵宝可梦：水都的守护神 拉帝亚斯与拉帝欧斯
16804,638,731,黑衣警探
6819,639,549,借东西的小人阿丽埃蒂
67451,640,1170,人生Best Ten
168204,641,655,宇宙巡警露露子
4255,642,630,迷糊餐厅
2903,643,669,岩窟王
208908,644,639,NEW GAME!!
2789,645,590,乱马1/2
228046,646,439,HUGtto！光之美少女
37873,647,563,CLANNAD 另一个世界 智代篇
28065,648,402,飞出个未来 第1季
23161,649,438,伪物语
206737,650,981,宣告黎明的露之歌
135805,651,765,亚人 -冲动-
36186,652,1096,天书奇谭
2042,652,1028,橙路
29307,654,460,境界线上的地平线 第二季
138829,655,594,终物语
36587,656,1655,铁腕巴迪
1609,657,473,游戏王5D's
3830,658,553,第四届东方M-1漫才大赛
6937,659,862,安倍桥魔法☆商店街
2074,660,671,逮捕令
43972,661,863,第五届东方M-1漫才大赛
6811,662,648,海月姬
54256,663,1136,天地无用! 魉皇鬼
25716,664,953,超能勇士
3175,665,993,超时空要塞 Dynamite 7
8461,666,796,落叶
9757,667,382,好想告诉你 第二季
29414,668,861,颠倒的帕特玛
84728,669,1213,天元突破 Parallel Works
7931,670,1252,返乡战士
880,671,687,水果篮子
2326,672,903,宇宙星路
88564,673,991,第二届东方M-1漫才大赛
150955,674,692,我的英雄学院
74625,675,625,幻想万华镜 红雾异变之章
9270,676,524,樱桃小丸子
58864,677,642,监狱兔 第二季
5434,678,800,美少女战士Sailor Stars
14880,679,927,小魔女DoReMi ♯ 愿望之花
2328,680,693,大都会
65883,681,960,乱马1/2 热斗篇
60368,682,762,第七届东方M-1漫才大赛
12,683,595,人形电脑天使心
3774,684,421,轻音少女 第二季
286,685,694,机动战士高达00
9996,686,1112,某个旅人的日记
2103,687,743,龙珠改
36004,688,667,日常 OAD
22759,689,645,花开伊吕波
185943,690,449,末日时在做什么？有没有空？可以来拯救吗？
448,691,973,大雄的日本诞生
110048,692,896,监狱学园
54234,693,299,小马驹G4 第三季
512,694,682,岁月的童话
50017,695,734,蝙蝠侠 黑暗骑士归来（上）
117728,696,801,不可思议的教室 OVA
7056,697,525,银魂精选集
6651,698,631,玩具总动员3
90367,699,1069,回忆中的玛妮
72767,700,741,男子高中生的日常 特典
14514,701,652,恶魔阿萨谢尔在召唤你
4328,702,408,江户盗贼团五叶
1788,703,1159,FLAG
9639,704,523,向阳素描×☆☆☆ 特别篇
13295,705,807,驯龙高手
4293,706,886,棒球大联盟 第六季
23119,707,538,命运石之门 负荷领域的既视感
475,708,793,哆啦A梦07剧场版：大雄的新魔界大冒险之7个魔法师
10742,709,453,恶魔阿萨谢尔在召唤你
56117,710,517,猫物语（黑）
1934,711,696,中华一番！
96130,712,872,少女与战车 这次是真正的安齐奥战！
1444,713,626,天才麻将少女
59583,714,867,飙速宅男
28900,715,537,摇曳百合♪♪
9642,716,699,向阳素描 特别篇
73083,717,697,钻石王牌
58865,718,764,监狱兔 第三季
1487,719,535,樱兰高校男公关部
84701,720,1319,宇宙战舰大和号2199 星巡的方舟
1947,721,803,人鱼之森
14652,722,767,小魔女DoReMi
170557,723,834,咱们裸熊 第二季
2936,724,721,苍穹之法芙娜
58949,725,725,言叶之庭
7348,726,850,STAR DRIVER 闪亮的拓人
749,727,444,查理布朗和史努比
2662,728,451,向阳素描×365 特别篇
178884,729,770,星之梦～星之人～
1936,730,708,星之声
150775,731,754,NEW GAME!
104569,732,717,头文字D Final Stage
53407,733,907,女子落 OAD
2894,734,685,翼·年代记 东京默示录
2784,735,610,犬夜叉
3732,735,458,灌篮高手 全国制霸吧！樱木花道
69163,737,865,钢之炼金术师 四格剧场
2141,738,906,魔力女管家
13448,739,805,奇诺之旅 塔之国 -自由创作-
10162,740,950,交响情人梦 OAD
8582,741,1064,兽兵卫忍风帖
61275,742,606,蝙蝠侠：黑暗骑士归来（下）
10582,743,814,奇诺之旅 活着的目标 -活下去。-
118335,744,589,进击的巨人 第二季
2215,745,591,魔方大厦
1780,746,1189,骷髅13
2971,747,723,名侦探柯南 通往天国的倒数计时
7159,748,757,枪神
13553,748,1145,浪客剑心 星霜篇
64048,750,1344,爱丽丝梦游仙境
9303,751,1212,Re: 甜心战士
10422,752,1165,迷糊女战士
6437,753,822,恶童
5487,754,608,阿尔卑斯山的少女
99748,755,790,美妙天堂
118098,756,926,剧场版 希德尼娅的骑士
1194,757,1175,铁腕巴迪 DECODE 第二季
2909,758,491,间之楔
47891,759,826,凯尔斯的秘密
192723,760,1115,精灵宝可梦世代
3554,761,1311,剧场版∀高达I 地球光
64140,762,777,记录的地平线
2462,763,818,海贼王 强者世界
470,764,1037,哆啦A梦 大雄的猫狗时空传
176518,765,1002,星之梦
5432,766,928,美少女战士S
